Link,Restaurant Name,Yes/No
https://resy.com/cities/ny/the-polo-bar,The Polo Bar,No
https://resy.com/cities/ny/chef-mitsuru-tamura-at-parcelle,Chef Mitsuru Tamara at Parcelle,Yes
https://resy.com/cities/ny/le-bernardin,La Bernadin,Yes
https://resy.com/cities/ny/4-charles-prime-rib,4 Charles Prime Rib,No
https://resy.com/cities/ny/nougatine-restaurant,Nougatine,Yes
https://resy.com/cities/ny/sushi-w-ues,Sushi W UES,Yes
https://resy.com/cities/ny/via-carota,Via Carota,No
https://resy.com/cities/ny/don-angie,Don Angie,No
https://resy.com/cities/ny/misi,Misi,Yes
https://resy.com/cities/ny/carbone,Carbone,No
https://resy.com/cities/ny/i-sodi,I Sodi,Yes
https://resy.com/cities/ny/cote-nyc,COTE Korean Steakhouse,Yes
https://resy.com/cities/ny/bangkok-supper-club,Bangkok Supper Club,Yes
https://resy.com/cities/ny/fish-cheeks,Fish Cheeks,Yes
https://resy.com/cities/ny/roscioli-a-la-carte,Roscioli a-la-carte,No
https://resy.com/cities/ny/cafe-carmellini,Cafe Carmellini,Yes
